,ホテル名,最低宿泊価格,ホテルの特色,メインページURL,ホテルID
0,筑後船小屋　公園の宿,4700,樹齢300年の大楠林での森林浴や親子でたっぷり遊べる【筑後広域公園内】♪絶景展望風呂で寛いで,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=104771,104771
1,アメニティホテルｉｎ博多,3000,『中洲川端駅』より徒歩3分★朝食ビュッフェ無料（明太子も食べ放題）★漫画約2000冊が読み放題★,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=14436,14436
2,クインテッサホテル福岡天神Ｃｏｍｉｃ＆Ｂｏｏｋｓ,2330,"7,000冊のMANGAが読み放題！9月30日(木)までご宿泊のご利用で軽食無料！",https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=181392,181392
3,アスティルホテル新大阪,1,2017年1月21日開業！男女別露天風呂付大浴場を完備！阪急三国駅すぐ！ビジネス・観光に最適です！,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=158823,158823
4,アスティルホテル十三プレシャス（２０２０年１月２９日新築オープン）,1,2020年新築OP！十三西口・徒歩２分！24時間ジアイーノ稼働中！男女別・露天壺湯・大浴場が魅力！,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=177866,177866
5,ＷｅＢａｓｅ博多,1000,博多駅より２駅『中洲川端駅』徒歩３分。個室充実＆女性も安心な２４Ｈスタッフ駐在！,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=164644,164644
6,Ｈａｔａｇｏ　ＣＯＥＤＯＹＡ　旅籠　小江戸や,2980,おひとり様から最大10名部屋まで。24時以降もチェックイン可！和モダンで綺麗なホテル,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=179352,179352
7,せせらぎの宿　鬼怒川温泉　ホテル万葉亭（ＢＢＨホテルグループ）,4480,ホテル万葉亭は鬼怒川温泉駅から車で5分。温泉につかり、四季折々花や緑、せせらぎをお楽しみください。,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=164469,164469
8,別府温泉　美湯の宿　両築別邸,7700,◆幼児無料プランが大人気◆別府八湯『観海寺温泉』を源泉かけ流し。夕食は夜景を見ながら部屋食で堪能♪,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=108176,108176
9,ＯＹＯ　ホテルアネックス松美,2700,コストパフォーマンス抜群の広くて安い部屋を提供しております！,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=28060,28060
10,グリーンリッチホテル那覇　人工温泉・二股湯の華,2000,コミック1000冊読み放題■楽天アワード2020 Bronze受賞■ホテル＆キャビン融合型■,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=172254,172254
11,三河湾リゾートリンクス,5445,三河湾から昇る感動の朝日が見られる絶景リゾートホテル♪ビュッフェと和・洋・中の選べる楽しみ,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=75347,75347
12,久美の浜温泉郷　久美の浜　みなと悠悠,11115,海と海に囲まれたやすらぎの宿,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=44252,44252
13,東京ベイ有明ワシントンホテル,2850,東京ビッグサイト正面！東京ディズニーリゾート(R)への無料送迎バス毎日運行中！,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=1177,1177
14,美保関温泉　旅館　美保館　国文化財の宿,5500,美保湾・大山を一望。日本海の幸を満喫。国文化財・旧館の朝食も好評。２４時間展望温泉。,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=13811,13811
15,西鉄イン名古屋錦,2400,お得なクーポン配布中！全室シモンズベッド完備◆JR名古屋駅から地下鉄東山線で伏見駅より徒歩４分,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=108989,108989
16,ホテル＆リゾーツ　別府湾　－ＤＡＩＷＡ　ＲＯＹＡＬ　ＨＯＴＥＬ－,5142,ハーモニーランド（車で約12分）唯一のオフィシャルホテル。感染症対策を実施中,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=8950,8950
17,ＨＯＴＥＬ　ＣＵＬＴＩＡ　太宰府,11858,【Go To トラベル対象】太宰府天満宮の門前町に佇む江戸末期からの名家をホテルに。文化を感じる旅を,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=177090,177090
18,割烹旅館みなみ家　＆　別邸　ねこ処みなみ家,11000,★長野県民割★感染症対策☆蜜回避で安心Stay★懐石料理と多彩なサービス☆看板猫ランキング5位,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=17527,17527
19,京都東山荘,5000,「京都東山荘へおこしやす」清水寺まで徒歩５分、東山散策にぴったりの京情緒溢れる片泊まりの宿。,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=72786,72786
20,京町家の宿　幻　毘沙門,4410,地下鉄五条駅から徒歩4分の京町家のお宿。しっとりとお庭を眺めながら、ゆっくりお過しくださいませ。,https://img.travel.rakuten.co.jp/image/tr/api/kw/JBe8h/?f_no=167000,167000
